
---------- Begin Simulation Statistics ----------
final_tick                               226362133750                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 137298                       # Simulator instruction rate (inst/s)
host_mem_usage                                8549248                       # Number of bytes of host memory used
host_op_rate                                   243489                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  3641.72                       # Real time elapsed on the host
host_tick_rate                               62157989                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   500000002                       # Number of instructions simulated
sim_ops                                     886717515                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.226362                       # Number of seconds simulated
sim_ticks                                226362133750                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 630649872                       # number of cc regfile reads
system.cpu.cc_regfile_writes                289934761                       # number of cc regfile writes
system.cpu.committedInsts                   500000002                       # Number of Instructions Simulated
system.cpu.committedOps                     886717515                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.810794                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.810794                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  10556751                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  5952837                       # number of floating regfile writes
system.cpu.idleCycles                          167215                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              2592013                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                128045148                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.104837                       # Inst execution rate
system.cpu.iew.exec_refs                    239535481                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   66299940                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles               218944928                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             182343824                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 74                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             75825                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             68503343                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1049412241                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             173235541                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           7023332                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            1000315954                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                5107214                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents             138060411                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                2434016                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles             145856179                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          10812                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1562305                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1029708                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                1137978806                       # num instructions consuming a value
system.cpu.iew.wb_count                     995603835                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.614982                       # average fanout of values written-back
system.cpu.iew.wb_producers                 699836566                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.099632                       # insts written-back per cycle
system.cpu.iew.wb_sent                      997669079                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1478736038                       # number of integer regfile reads
system.cpu.int_regfile_writes               791729611                       # number of integer regfile writes
system.cpu.ipc                               0.552244                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.552244                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass          13219273      1.31%      1.31% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             742781101     73.74%     75.05% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              1651654      0.16%     75.21% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv               2602206      0.26%     75.47% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1067805      0.11%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  485      0.00%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     75.58% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               363133      0.04%     75.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   26      0.00%     75.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               603493      0.06%     75.67% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2361430      0.23%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                411      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.91% # Type of FU issued
