
---------- Begin Simulation Statistics ----------
final_tick                               144879027500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 182344                       # Simulator instruction rate (inst/s)
host_mem_usage                                8960260                       # Number of bytes of host memory used
host_op_rate                                   315900                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  2742.08                       # Real time elapsed on the host
host_tick_rate                               52835517                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   500000001                       # Number of instructions simulated
sim_ops                                     866221744                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.144879                       # Number of seconds simulated
sim_ticks                                144879027500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 548418589                       # number of cc regfile reads
system.cpu.cc_regfile_writes                302563477                       # number of cc regfile writes
system.cpu.committedInsts                   500000001                       # Number of Instructions Simulated
system.cpu.committedOps                     866221744                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.158920                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.158920                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   4651993                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3142131                       # number of floating regfile writes
system.cpu.idleCycles                         3117657                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              1552772                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                104839183                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.584538                       # Inst execution rate
system.cpu.iew.exec_refs                    191432344                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   61047880                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles               227692261                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             135699969                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1873                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             47894                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             62791902                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           950413947                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             130384464                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           3483605                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             918176382                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                 970510                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1994482                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                1394615                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3748383                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          19811                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       951159                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         601613                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                1182723088                       # num instructions consuming a value
system.cpu.iew.wb_count                     915783476                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.578873                       # average fanout of values written-back
system.cpu.iew.wb_producers                 684646902                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.580409                       # insts written-back per cycle
system.cpu.iew.wb_sent                      917320323                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1394662124                       # number of integer regfile reads
system.cpu.int_regfile_writes               740106681                       # number of integer regfile writes
system.cpu.ipc                               0.862872                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.862872                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass          11844041      1.29%      1.29% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             712732873     77.33%     78.62% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              2965646      0.32%     78.94% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                294232      0.03%     78.97% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              378688      0.04%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                2212      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  1      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                13054      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     79.01% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               124071      0.01%     79.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                  332      0.00%     79.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                46518      0.01%     79.03% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              235676      0.03%     79.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               7742      0.00%     79.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.06% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd          155275      0.02%     79.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp             390      0.00%     79.07% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           34323      0.00%     79.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv           11174      0.00%     79.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult         191533      0.02%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt            282      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.10% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.10% # Type of FU issued
