
---------- Begin Simulation Statistics ----------
final_tick                               569089500000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 115353                       # Simulator instruction rate (inst/s)
host_mem_usage                                8549180                       # Number of bytes of host memory used
host_op_rate                                   200871                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  8669.06                       # Real time elapsed on the host
host_tick_rate                               65646010                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000002                       # Number of instructions simulated
sim_ops                                    1741367694                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.569090                       # Number of seconds simulated
sim_ticks                                569089500000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                1310841582                       # number of cc regfile reads
system.cpu.cc_regfile_writes                597183019                       # number of cc regfile writes
system.cpu.committedInsts                  1000000002                       # Number of Instructions Simulated
system.cpu.committedOps                    1741367694                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.276296                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.276296                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  10586656                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  5978166                       # number of floating regfile writes
system.cpu.idleCycles                          167226                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              6928210                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                274607559                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.906690                       # Inst execution rate
system.cpu.iew.exec_refs                    513198962                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  125096791                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles               601095363                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             414699774                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 74                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            273984                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            131730433                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          2200904351                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             388102171                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts          19502601                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            2063894989                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents               13814954                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents             354111022                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                6662328                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles             375155610                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          25750                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      3720708                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        3207502                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                2302318726                       # num instructions consuming a value
system.cpu.iew.wb_count                    2048845501                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.621293                       # average fanout of values written-back
system.cpu.iew.wb_producers                1430415135                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.900079                       # insts written-back per cycle
system.cpu.iew.wb_sent                     2054460817                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               3009642752                       # number of integer regfile reads
system.cpu.int_regfile_writes              1633253658                       # number of integer regfile writes
system.cpu.ipc                               0.439310                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.439310                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass          30100168      1.44%      1.44% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu            1519163267     72.92%     74.36% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              2630323      0.13%     74.49% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv               5277077      0.25%     74.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1078576      0.05%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  485      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               363133      0.02%     74.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   26      0.00%     74.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               603493      0.03%     74.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2372283      0.11%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                411      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     74.95% # Type of FU issued
