
---------- Begin Simulation Statistics ----------
final_tick                               316355611250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 179019                       # Simulator instruction rate (inst/s)
host_mem_usage                                8968392                       # Number of bytes of host memory used
host_op_rate                                   311190                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  5586.01                       # Real time elapsed on the host
host_tick_rate                               56633535                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000002                       # Number of instructions simulated
sim_ops                                    1738310199                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.316356                       # Number of seconds simulated
sim_ticks                                316355611250                       # Number of ticks simulated
system.cpu.cc_regfile_reads                1107648480                       # number of cc regfile reads
system.cpu.cc_regfile_writes                599366489                       # number of cc regfile writes
system.cpu.committedInsts                  1000000002                       # Number of Instructions Simulated
system.cpu.committedOps                    1738310199                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.265400                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.265400                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  51178104                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 32135628                       # number of floating regfile writes
system.cpu.idleCycles                         3329281                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              3530460                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                215179174                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.469949                       # Inst execution rate
system.cpu.iew.exec_refs                    386637804                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  116492247                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles               519369475                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             284991658                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               2135                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             99451                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            120092901                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          1944094989                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             270145557                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           7834972                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            1860073445                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                2475565                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents              23986016                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                3146316                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles              28317396                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          30684                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      2111348                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        1419112                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                2381834452                       # num instructions consuming a value
system.cpu.iew.wb_count                    1854749206                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.582979                       # average fanout of values written-back
system.cpu.iew.wb_producers                1388559861                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.465741                       # insts written-back per cycle
system.cpu.iew.wb_sent                     1857805149                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               2753855868                       # number of integer regfile reads
system.cpu.int_regfile_writes              1475902151                       # number of integer regfile writes
system.cpu.ipc                               0.790264                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.790264                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass          24549621      1.31%      1.31% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu            1434451080     76.79%     78.11% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              5889121      0.32%     78.42% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                308829      0.02%     78.44% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              878769      0.05%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                2312      0.00%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  1      0.00%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                71960      0.00%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               436361      0.02%     78.51% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                  332      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                62214      0.00%     78.52% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              416015      0.02%     78.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               8392      0.00%     78.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.54% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd         5623287      0.30%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp             390      0.00%     78.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt          225752      0.01%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv           11247      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.85% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult        5607877      0.30%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt            282      0.00%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.16% # Type of FU issued
