
---------- Begin Simulation Statistics ----------
final_tick                               586927798750                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 122002                       # Simulator instruction rate (inst/s)
host_mem_usage                                8553304                       # Number of bytes of host memory used
host_op_rate                                   212450                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  8196.61                       # Real time elapsed on the host
host_tick_rate                               71606151                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1000000002                       # Number of instructions simulated
sim_ops                                    1741367694                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.586928                       # Number of seconds simulated
sim_ticks                                586927798750                       # Number of ticks simulated
system.cpu.cc_regfile_reads                1313758097                       # number of cc regfile reads
system.cpu.cc_regfile_writes                598322912                       # number of cc regfile writes
system.cpu.committedInsts                  1000000002                       # Number of Instructions Simulated
system.cpu.committedOps                    1741367694                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               2.347665                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         2.347665                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  10634405                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  5972641                       # number of floating regfile writes
system.cpu.idleCycles                          167924                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              6971706                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                275172339                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     0.880616                       # Inst execution rate
system.cpu.iew.exec_refs                    514124352                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  125268064                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles               573243330                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             415163047                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 76                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts            283262                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            131852734                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          2203615488                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             388856288                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts          19382503                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            2067392058                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents               14436880                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents             368074564                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                6709008                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles             389535367                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents          26185                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      3746985                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        3224721                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                2302888098                       # num instructions consuming a value
system.cpu.iew.wb_count                    2052394898                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.621511                       # average fanout of values written-back
system.cpu.iew.wb_producers                1431270210                       # num instructions producing a value
system.cpu.iew.wb_rate                       0.874228                       # insts written-back per cycle
system.cpu.iew.wb_sent                     2057924907                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               3014945904                       # number of integer regfile reads
system.cpu.int_regfile_writes              1635958365                       # number of integer regfile writes
system.cpu.ipc                               0.425955                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.425955                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass          30142674      1.44%      1.44% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu            1521661475     72.92%     74.36% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult              2631830      0.13%     74.49% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv               5283440      0.25%     74.74% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             1078885      0.05%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  485      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     74.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               363135      0.02%     74.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   26      0.00%     74.81% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               597347      0.03%     74.84% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             2367734      0.11%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                411      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     74.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     74.95% # Type of FU issued
