
---------- Begin Simulation Statistics ----------
final_tick                                57805393750                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 260272                       # Simulator instruction rate (inst/s)
host_mem_usage                                8588372                       # Number of bytes of host memory used
host_op_rate                                   402213                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1921.07                       # Real time elapsed on the host
host_tick_rate                               30090211                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   500000002                       # Number of instructions simulated
sim_ops                                     772678914                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.057805                       # Number of seconds simulated
sim_ticks                                 57805393750                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 410068759                       # number of cc regfile reads
system.cpu.cc_regfile_writes                418580014                       # number of cc regfile writes
system.cpu.committedInsts                   500000002                       # Number of Instructions Simulated
system.cpu.committedOps                     772678914                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.462329                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.462329                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                  35369877                       # number of floating regfile reads
system.cpu.fp_regfile_writes                 28429975                       # number of floating regfile writes
system.cpu.idleCycles                          220409                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               602389                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 53211381                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.401341                       # Inst execution rate
system.cpu.iew.exec_refs                    218792949                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   67562287                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 3592097                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             153464649                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                711                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               484                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             67993012                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           796586209                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             151230662                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1545658                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             786269580                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   5165                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1211147                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 469194                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1223339                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           8923                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       136249                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         466140                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                1135632598                       # num instructions consuming a value
system.cpu.iew.wb_count                     785807613                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.544146                       # average fanout of values written-back
system.cpu.iew.wb_producers                 617949480                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.399342                       # insts written-back per cycle
system.cpu.iew.wb_sent                      786173612                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               1388108191                       # number of integer regfile reads
system.cpu.int_regfile_writes               627069501                       # number of integer regfile writes
system.cpu.ipc                               2.162961                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         2.162961                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass          10115913      1.28%      1.28% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             532097288     67.54%     68.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   42      0.00%     68.82% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 43306      0.01%     68.83% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd             8685563      1.10%     69.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     69.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1248      0.00%     69.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     69.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     69.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     69.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     69.93% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     69.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9066      0.00%     69.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     69.93% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                72487      0.01%     69.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   12      0.00%     69.94% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                19534      0.00%     69.95% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc            17374087      2.21%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               4093      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     72.15% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt           32650      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult          16731      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     72.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     72.16% # Type of FU issued
